1,0.008865,1,6
2,0.00855,2,8
3,0.008259,3,10
4,0.009374,4,12
5,0.011013,1,15
6,0.014095,2,20
7,0.016517,3,24
8,0.018441,4,28
9,0.021123,5,32
10,0.02466,1,38
11,0.031212,2,49
12,0.036333,3,57
13,0.040699,4,65
14,0.04397,5,73
15,0.050351,2,83
16,0.059128,3,97
17,0.066143,4,109
18,0.073008,5,121
19,0.080214,6,133
20,0.088637,2,148
21,0.102466,3,170
22,0.115274,4,188
23,0.102072,5,206
24,0.097695,6,224
25,0.107405,1,246
26,0.132907,2,278
27,0.1315,3,304
28,0.14171,4,330
29,0.153871,5,356
30,0.166729,2,387
31,0.183095,3,429
32,0.199543,4,465
33,0.271546,5,501
34,0.298294,6,537
35,0.245251,2,579
36,0.295272,3,634
37,0.366167,4,682
38,0.320481,5,730
39,0.331215,6,778
40,0.353076,3,833
-1, 5.34823,0 , 0
